iter	Passed	Remaining
965	9058	9696
966	9067	9686
967	9077	9677
968	9086	9667
969	9095	9658
970	9104	9648
971	9113	9638
972	9123	9629
973	9132	9619
974	9140	9609
975	9150	9600
976	9159	9590
977	9169	9581
978	9178	9572
979	9187	9562
980	9197	9553
981	9206	9543
982	9215	9533
983	9224	9524
984	9233	9514
985	9243	9505
986	9252	9496
987	9262	9487
988	9271	9477
989	9279	9467
990	9289	9458
991	9298	9448
992	9307	9438
993	9316	9429
994	9325	9419
995	9335	9410
996	9344	9400
997	9354	9391
998	9364	9382
999	9373	9373
1000	9382	9363
1001	9390	9353
1002	9399	9343
1003	9408	9333
1004	9417	9323
1005	9426	9313
1006	9435	9304
1007	9444	9294
1008	9453	9284
1009	9462	9275
1010	9472	9266
1011	9481	9256
1012	9490	9246
1013	9499	9237
1014	9508	9227
1015	9517	9218
1016	9526	9208
1017	9536	9199
1018	9545	9189
1019	9554	9179
1020	9563	9170
1021	9573	9160
1022	9582	9151
1023	9591	9142
1024	9600	9132
1025	9610	9123
1026	9619	9113
1027	9628	9104
1028	9637	9094
1029	9647	9085
1030	9656	9075
1031	9665	9066
1032	9674	9056
1033	9684	9047
1034	9693	9037
1035	9702	9028
1036	9711	9018
1037	9721	9009
1038	9730	8999
1039	9739	8990
1040	9749	8981
1041	9758	8972
1042	9768	8963
1043	9778	8953
1044	9787	8944
1045	9797	8935
1046	9807	8926
1047	9816	8917
1048	9826	8908
1049	9836	8899
1050	9846	8891
1051	9855	8881
1052	9865	8872
1053	9874	8862
1054	9883	8852
1055	9892	8843
1056	9901	8833
1057	9910	8823
1058	9919	8814
1059	9929	8805
1060	9938	8795
1061	9948	8786
1062	9957	8777
1063	9967	8768
1064	9976	8759
1065	9986	8750
1066	9996	8740
1067	10005	8731
1068	10014	8721
1069	10023	8712
1070	10033	8703
1071	10042	8693
1072	10052	8684
1073	10062	8675
1074	10072	8666
1075	10081	8657
1076	10090	8647
1077	10099	8638
1078	10109	8628
1079	10118	8619
1080	10127	8609
1081	10135	8599
1082	10144	8589
1083	10153	8579
1084	10162	8570
1085	10171	8560
1086	10181	8551
1087	10190	8542
1088	10199	8532
1089	10208	8522
1090	10217	8513
1091	10226	8503
1092	10236	8494
1093	10245	8484
1094	10254	8475
1095	10264	8466
1096	10273	8456
1097	10282	8447
1098	10292	8437
1099	10301	8428
1100	10310	8418
1101	10319	8409
1102	10328	8399
1103	10338	8390
1104	10348	8381
1105	10357	8372
1106	10366	8362
1107	10375	8352
1108	10384	8343
1109	10393	8333
1110	10403	8324
1111	10412	8315
1112	10421	8305
1113	10430	8295
1114	10439	8286
1115	10450	8278
1116	10459	8268
1117	10468	8259
1118	10477	8249
1119	10486	8239
1120	10495	8229
1121	10504	8220
1122	10513	8210
1123	10522	8201
1124	10532	8191
1125	10541	8182
1126	10550	8173
1127	10560	8163
1128	10569	8154
1129	10579	8145
1130	10588	8135
1131	10598	8126
1132	10607	8117
1133	10616	8107
1134	10625	8097
1135	10634	8088
1136	10643	8078
1137	10653	8069
1138	10663	8060
1139	10672	8051
1140	10681	8041
1141	10690	8032
1142	10699	8022
1143	10708	8012
1144	10717	8003
1145	10727	7993
1146	10735	7983
1147	10745	7974
1148	10754	7965
1149	10763	7955
1150	10773	7946
1151	10782	7936
1152	10791	7927
1153	10800	7917
1154	10809	7908
1155	10819	7899
1156	10828	7889
1157	10837	7880
1158	10846	7870
1159	10855	7860
1160	10864	7851
1161	10873	7841
1162	10882	7831
1163	10890	7821
1164	10900	7812
1165	10909	7803
1166	10918	7793
1167	10927	7784
1168	10936	7774
1169	10946	7765
1170	10956	7756
1171	10965	7746
1172	10973	7736
1173	10983	7727
1174	10992	7718
1175	11001	7708
1176	11010	7699
1177	11019	7689
1178	11028	7679
1179	11037	7670
1180	11047	7661
1181	11056	7651
1182	11065	7642
1183	11075	7632
1184	11084	7623
1185	11093	7613
1186	11102	7604
1187	11112	7595
1188	11120	7585
1189	11130	7575
1190	11139	7566
1191	11149	7557
1192	11158	7547
1193	11166	7538
1194	11176	7528
1195	11186	7519
1196	11195	7510
1197	11204	7501
1198	11213	7491
1199	11222	7481
1200	11231	7472
1201	11240	7462
1202	11249	7453
1203	11258	7443
1204	11267	7434
1205	11276	7424
1206	11285	7414
1207	11295	7405
1208	11303	7395
1209	11312	7386
1210	11322	7376
1211	11331	7367
1212	11340	7357
1213	11349	7348
1214	11359	7339
1215	11368	7329
1216	11378	7320
1217	11387	7310
1218	11395	7301
1219	11405	7291
1220	11414	7282
1221	11423	7272
1222	11432	7263
1223	11441	7253
1224	11450	7244
1225	11459	7234
1226	11468	7225
1227	11478	7215
1228	11487	7206
1229	11496	7196
1230	11505	7187
1231	11513	7177
1232	11522	7167
1233	11531	7158
1234	11540	7148
1235	11549	7139
1236	11558	7129
1237	11567	7119
1238	11576	7110
1239	11586	7101
1240	11595	7091
1241	11604	7082
1242	11613	7072
1243	11622	7063
1244	11632	7054
1245	11642	7045
1246	11652	7036
1247	11662	7027
1248	11671	7017
1249	11680	7008
1250	11689	6999
1251	11699	6989
1252	11708	6980
1253	11717	6970
1254	11726	6961
1255	11735	6951
1256	11745	6942
1257	11754	6932
1258	11763	6923
1259	11772	6913
1260	11781	6904
1261	11790	6895
1262	11800	6885
1263	11809	6876
1264	11818	6866
1265	11827	6857
1266	11837	6848
1267	11847	6839
1268	11855	6829
1269	11864	6820
1270	11874	6810
1271	11882	6800
1272	11892	6791
1273	11900	6781
1274	11909	6772
1275	11919	6762
1276	11928	6753
1277	11937	6743
1278	11946	6734
1279	11955	6724
1280	11964	6715
1281	11973	6706
1282	11982	6696
1283	11991	6686
1284	12001	6677
1285	12010	6668
